,click count,relative time,label
MC,1,3088,mayank
MC,1,9224,mayank
MC,1,312,mayank
MC,1,384,mayank
MC,1,136,mayank
MC,1,136,mayank
MC,1,680,mayank
MC,1,1632,mayank
MC,1,120,mayank
MC,1,104,mayank
MC,1,168,mayank
MC,1,368,mayank
MC,1,280,mayank
MC,1,697,mayank
MC,1,536,mayank
MC,1,144,mayank
MC,1,456,mayank
MC,1,112,mayank
MC,1,200,mayank
MC,1,175,mayank
MC,1,1,mayank
MC,1,201,mayank
MC,1,392,mayank
MC,1,208,mayank
MC,1,144,mayank
MC,1,152,mayank
MC,1,176,mayank
MC,1,136,mayank
MC,1,535,mayank
MC,1,136,mayank
MC,1,1024,mayank
MC,1,152,mayank
MC,1,192,mayank
MC,1,96,mayank
MC,1,80,mayank
MC,1,112,mayank
MC,1,720,mayank
MC,1,144,mayank
MC,1,112,mayank
MC,1,112,mayank
MC,1,144,mayank
MC,1,128,mayank
MC,1,496,mayank
MC,1,215,mayank
MC,1,12816,mayank
MC,1,30671,mayank
MC,1,152,mayank
MC,1,176,mayank
MC,1,344,mayank
MC,1,544,mayank
MC,1,216,mayank
MC,1,144,mayank
MC,1,264,mayank
MC,1,449,mayank
MC,1,265,mayank
MC,1,127,mayank
MC,1,160,mayank
MC,1,104,mayank
MC,1,167,mayank
MC,2,192,mayank
MC,1,208,mayank
MC,1,200,mayank
MC,1,0,mayank
MC,1,344,mayank
MC,1,160,mayank
MC,1,144,mayank
MC,1,312,mayank
MC,1,144,mayank
MC,1,553,mayank
MC,1,608,mayank
MC,1,152,mayank
MC,1,352,mayank
MC,1,136,mayank
MC,1,232,mayank
MC,1,128,mayank
MC,1,416,mayank
MC,1,152,mayank
MC,1,432,mayank
MC,1,536,mayank
MC,1,240,mayank
MC,1,504,mayank
MC,1,120,mayank
MC,1,128,mayank
MC,1,168,mayank
MC,1,560,mayank
MC,1,104,mayank
MC,1,145,mayank
MC,1,528,mayank
MC,1,520,mayank
MC,2,217,mayank
MC,1,551,mayank
MC,1,352,mayank
MC,1,200,mayank
MC,1,448,mayank
MC,1,120,mayank
MC,1,328,mayank
MC,1,200,mayank
MC,1,552,mayank
MC,1,176,mayank
MC,1,184,mayank
MC,1,184,mayank
MC,1,456,mayank
MC,1,304,mayank
MC,1,152,mayank
MC,1,2259,mayank
MC,1,224,mayank
MC,1,1673,mayank
MC,1,240,mayank
MC,1,384,mayank
MC,1,216,mayank
MC,1,255,mayank
MC,1,328,mayank
MC,1,120,mayank
MC,1,512,mayank
MC,1,128,mayank
MC,1,160,mayank
MC,1,164,mayank
MC,1,512,mayank
MC,1,176,mayank
MC,1,185,mayank
MC,1,176,mayank
MC,1,176,mayank
MC,1,167,mayank
MC,1,296,mayank
MC,2,280,mayank
MC,1,184,mayank
MC,1,568,mayank
MC,1,225,mayank
MC,1,479,mayank
MC,1,136,mayank
MC,1,352,mayank
MC,1,240,mayank
MC,1,393,mayank
MC,1,159,mayank
MC,1,193,mayank
MC,1,351,mayank
MC,1,143,mayank
MC,1,200,mayank
MC,1,168,mayank
MC,1,152,mayank
MC,1,295,mayank
MC,1,152,mayank
MC,1,176,mayank
MC,1,336,mayank
MC,1,176,mayank
MC,1,423,mayank
MC,1,127,mayank
MC,1,183,mayank
MC,1,159,mayank
MC,1,441,mayank
MC,1,120,mayank
MC,1,136,mayank
MC,1,719,mayank
MC,1,576,mayank
MC,2,184,mayank
MC,1,1049,mayank
MC,1,240,mayank
MC,1,320,mayank
MC,1,160,mayank
MC,1,496,mayank
MC,1,160,mayank
MC,1,136,mayank
MC,1,504,mayank
MC,1,120,mayank
MC,1,816,mayank
MC,1,144,mayank
MC,1,352,mayank
MC,1,176,mayank
MC,1,456,mayank
MC,1,152,mayank
MC,1,224,mayank
MC,1,3336,mayank
MC,1,168,mayank
MC,1,512,mayank
MC,1,128,mayank
MC,1,336,mayank
MC,1,160,mayank
MC,1,136,mayank
MC,1,0,mayank
MC,1,200,mayank
MC,1,408,mayank
MC,1,136,mayank
MC,1,152,mayank
MC,1,104,mayank
MC,1,176,mayank
MC,1,352,mayank
MC,1,304,mayank
MC,1,360,mayank
MC,1,160,mayank
MC,1,128,mayank
MC,1,208,mayank
MC,1,416,mayank
MC,1,176,mayank
MC,1,256,mayank
MC,1,353,mayank
MC,1,831,mayank
MC,1,304,mayank
MC,1,0,mayank
MC,1,184,mayank
MC,1,136,mayank
MC,1,112,mayank
MC,1,483,mayank
MC,1,152,mayank
MC,1,368,mayank
MC,1,232,mayank
MC,1,208,mayank
MC,1,154,mayank
MC,1,752,mayank
MC,1,184,mayank
MC,1,416,mayank
MC,1,192,mayank
MC,1,128,mayank
MC,1,112,mayank
MC,1,289,mayank
MC,1,280,mayank
MC,1,168,mayank
MC,1,160,mayank
MC,1,584,mayank
MC,2,176,mayank
MC,3,408,mayank
MC,1,120,mayank
MC,1,104,mayank
MC,1,120,mayank
MC,1,128,mayank
MC,1,560,mayank
MC,1,160,mayank
MC,1,160,mayank
MC,1,15361,mayank
MC,1,4744,mayank
MC,1,112,mayank
MC,1,168,mayank
MC,1,682,mayank
MC,1,103,mayank
MC,1,153,mayank
MC,1,504,mayank
MC,1,104,mayank
MC,1,608,mayank
MC,1,96,mayank
MC,1,489,mayank
MC,1,200,mayank
MC,1,424,mayank
MC,1,304,mayank
MC,1,472,mayank
MC,1,192,mayank
MC,1,136,mayank
MC,1,215,mayank
MC,1,705,mayank
MC,1,0,mayank
MC,1,193,mayank
MC,1,209,mayank
MC,1,528,mayank
MC,1,113,mayank
MC,1,416,mayank
MC,1,104,mayank
MC,1,112,mayank
MC,1,120,mayank
MC,1,160,mayank
MC,1,120,mayank
MC,1,272,mayank
MC,1,329,mayank
MC,1,128,mayank
MC,1,160,mayank
MC,1,104,mayank
MC,1,128,mayank
MC,1,152,mayank
MC,1,328,mayank
MC,1,192,mayank
MC,1,328,mayank
MC,1,112,mayank
MC,1,298,mayank
MC,1,317,mayank
MC,1,135,mayank
MC,1,366,mayank
MC,1,153,mayank
MC,1,360,mayank
MC,2,160,mayank
MC,3,136,mayank
MC,1,128,mayank
MC,1,392,mayank
MC,1,113,mayank
MC,1,408,mayank
MC,1,216,mayank
MC,1,120,mayank
MC,1,120,mayank
MC,1,168,mayank
MC,1,1.61E+12,mayank
MC,1,0,mayank
MC,1,176,mayank
MC,1,184,mayank
MC,1,120,mayank
MC,1,212,mayank
MC,1,304,mayank
MC,1,325,mayank
MC,1,176,mayank
MC,1,137,mayank
MC,1,112,mayank
MC,1,223,mayank
MC,1,160,mayank
MC,1,704,mayank
MC,1,138,mayank
MC,1,400,mayank
MC,1,720,mayank
MC,1,161,mayank
MC,1,208,mayank
MC,1,152,mayank
MC,1,276,mayank
MC,1,421,mayank
MC,1,120,mayank
MC,1,108,mayank
MC,1,104,mayank
MC,1,176,mayank
MC,1,136,mayank
MC,1,677,mayank
MC,1,360,mayank
MC,1,1,mayank
MC,1,224,mayank
MC,1,207,mayank
MC,1,96,mayank
MC,1,97,mayank
MC,1,341,mayank
MC,1,248,mayank
MC,1,529,mayank
MC,1,176,mayank
MC,1,176,mayank
MC,1,96,mayank
MC,1,509,mayank
MC,1,192,mayank
MC,1,144,mayank
MC,1,144,mayank
MC,1,160,mayank
MC,1,669,mayank
MC,1,344,mayank
MC,1,211,mayank
MC,1,296,mayank
MC,1,0,mayank
MC,1,187,mayank
MC,1,584,mayank
MC,1,150,mayank
MC,1,143,mayank
MC,1,188,mayank
MC,1,120,mayank
MC,1,232,mayank
MC,1,421,mayank
MC,1,432,mayank
MC,1,160,mayank
MC,1,319,mayank
MC,1,192,mayank
MC,2,176,mayank
MC,1,152,mayank
MC,1,0,mayank
MC,1,0,mayank
MC,1,1422,mayank
MC,1,17451,mayank
MC,1,2,mayank
MC,1,1303,mayank
MC,1,182,mayank
MC,1,150,mayank
MC,1,167,mayank
MC,1,161,mayank
MC,1,187,mayank
MC,1,192,mayank
MC,1,137,mayank
MC,1,152,mayank
MC,1,0,mayank
MC,1,135,mayank
MC,2,176,mayank
MC,1,247,mayank
MC,1,161,mayank
MC,1,135,mayank
MC,1,160,mayank
MC,1,359,mayank
MC,1,144,mayank
MC,1,521,mayank
MC,1,338,mayank
MC,1,112,mayank
MC,1,128,mayank
MC,1,134,mayank
MC,1,327,mayank
MC,1,128,mayank
MC,1,168,mayank
MC,1,105,mayank
MC,1,143,mayank
MC,1,144,mayank
MC,1,95,mayank
MC,1,397,mayank
MC,1,231,mayank
MC,1,144,mayank
MC,1,103,mayank
MC,1,199,mayank
MC,1,167,mayank
MC,1,0,mayank
MC,1,169,mayank
MC,1,207,mayank
MC,1,176,mayank
MC,1,232,mayank
MC,1,156,mayank
MC,1,337,mayank
MC,1,120,mayank
MC,1,554,mayank
MC,1,146,mayank
MC,1,168,mayank
MC,1,272,mayank
MC,1,111,mayank
MC,1,543,mayank
MC,1,464,mayank
MC,1,202,mayank
MC,1,224,mayank
MC,1,184,mayank
MC,1,446,mayank
MC,1,128,mayank
MC,1,591,mayank
MC,1,672,mayank
MC,1,206,mayank
MC,1,624,mayank
MC,1,7347,mayank
MC,1,120,mayank
MC,1,508,mayank
MC,1,126,mayank
MC,1,184,mayank
MC,1,169,mayank
MC,1,176,mayank
MC,1,120,mayank
MC,1,423,mayank
MC,1,200,mayank
MC,1,276,mayank
MC,1,1,mayank
MC,1,128,mayank
MC,1,120,mayank
MC,1,111,mayank
MC,1,130,mayank
MC,1,136,mayank
MC,1,303,mayank
MC,1,313,mayank
MC,1,310,mayank
MC,1,215,mayank
MC,1,168,mayank
MC,1,178,mayank
MC,1,471,mayank
MC,1,286,mayank
MC,1,127,mayank
MC,1,88,mayank
MC,1,439,mayank
MC,2,129,mayank
MC,1,536,mayank
MC,1,343,mayank
MC,1,159,mayank
MC,1,203,mayank
MC,1,344,mayank
MC,1,128,mayank
MC,1,136,mayank
MC,1,352,mayank
MC,1,175,mayank
MC,1,0,mayank
MC,1,536,mayank
MC,1,152,mayank
MC,1,95,mayank
MC,1,182,mayank
MC,1,127,mayank
MC,1,304,mayank
MC,1,296,mayank
MC,1,200,mayank
MC,1,96,mayank
MC,1,152,mayank
MC,1,712,mayank
MC,2,168,mayank
MC,3,320,mayank
MC,1,232,mayank
MC,1,128,mayank
MC,1,146,mayank
MC,1,576,mayank
MC,1,7759,sayan
MC,1,465,sayan
MC,1,327,sayan
MC,1,568,sayan
MC,1,201,sayan
MC,1,303,sayan
MC,1,376,sayan
MC,1,264,sayan
MC,1,216,sayan
MC,1,0,sayan
MC,1,361,sayan
MC,1,264,sayan
MC,1,166,sayan
MC,1,1367,sayan
MC,1,279,sayan
MC,1,303,sayan
MC,1,215,sayan
MC,1,95,sayan
MC,2,72,sayan
MC,1,167,sayan
MC,1,385,sayan
MC,1,273,sayan
MC,1,343,sayan
MC,1,230,sayan
MC,1,167,sayan
MC,2,105,sayan
MC,1,344,sayan
MC,1,166,sayan
MC,1,224,sayan
MC,1,225,sayan
MC,1,645,sayan
MC,1,1159,sayan
MC,2,105,sayan
MC,1,255,sayan
MC,1,263,sayan
MC,1,464,sayan
MC,1,216,sayan
MC,1,337,sayan
MC,1,216,sayan
MC,1,504,sayan
MC,1,288,sayan
MC,1,513,sayan
MC,1,184,sayan
MC,1,1120,sayan
MC,1,256,sayan
MC,1,327,sayan
MC,1,246,sayan
MC,1,698,sayan
MC,1,239,sayan
MC,1,175,sayan
MC,1,278,sayan
MC,1,238,sayan
MC,1,984,sayan
MC,1,335,sayan
MC,1,177,sayan
MC,1,159,sayan
MC,1,361,sayan
MC,1,686,sayan
MC,1,217,sayan
MC,1,167,sayan
MC,1,295,sayan
MC,1,639,sayan
MC,1,688,sayan
MC,1,158,sayan
MC,1,200,sayan
MC,1,551,sayan
MC,1,430,sayan
MC,1,158,sayan
MC,1,544,sayan
MC,1,265,sayan
MC,2,183,sayan
MC,1,204,sayan
MC,1,351,sayan
MC,1,0,sayan
MC,1,609,sayan
MC,1,10655,sayan
MC,1,392,sayan
MC,1,261,sayan
MC,1,160,sayan
MC,1,167,sayan
MC,1,391,sayan
MC,1,232,sayan
MC,1,265,sayan
MC,1,200,sayan
MC,1,248,sayan
MC,1,281,sayan
MC,1,142,sayan
MC,1,625,sayan
MC,1,257,sayan
MC,1,279,sayan
MC,1,232,sayan
MC,1,264,sayan
MC,1,857,sayan
MC,1,384,sayan
MC,1,1023,sayan
MC,1,399,sayan
MC,1,161,sayan
MC,1,152,sayan
MC,1,369,sayan
MC,1,1197,sayan
MC,1,592,sayan
MC,1,225,sayan
MC,1,272,sayan
MC,1,209,sayan
MC,1,416,sayan
MC,1,159,sayan
MC,2,208,sayan
MC,1,184,sayan
MC,1,369,sayan
MC,1,328,sayan
MC,1,272,sayan
MC,1,527,sayan
MC,1,192,sayan
MC,1,376,sayan
MC,1,457,sayan
MC,1,272,sayan
MC,1,135,sayan
MC,1,272,sayan
MC,1,240,sayan
MC,1,647,sayan
MC,1,393,sayan
MC,1,448,sayan
MC,1,224,sayan
MC,1,455,sayan
MC,1,432,sayan
MC,1,457,sayan
MC,1,262,sayan
MC,1,199,sayan
MC,1,367,sayan
MC,1,313,sayan
MC,1,199,sayan
MC,1,248,sayan
MC,1,385,sayan
MC,1,215,sayan
MC,1,0,sayan
MC,1,1268,sayan
MC,1,548,sayan
MC,1,232,sayan
MC,1,320,sayan
MC,1,463,sayan
MC,1,392,sayan
MC,1,160,sayan
MC,1,231,sayan
MC,1,400,sayan
MC,1,2190,sayan
MC,1,328,sayan
MC,1,224,sayan
MC,1,288,sayan
MC,1,232,sayan
MC,1,359,sayan
MC,1,639,sayan
MC,1,153,sayan
MC,2,208,sayan
MC,1,198,sayan
MC,1,231,sayan
MC,1,368,sayan
MC,1,232,sayan
MC,1,309,sayan
MC,1,1032,sayan
MC,1,247,sayan
MC,1,519,sayan
MC,1,217,sayan
MC,1,239,sayan
MC,1,231,sayan
MC,1,176,sayan
MC,1,160,sayan
MC,1,376,sayan
MC,1,448,sayan
MC,1,248,sayan
MC,1,225,sayan
MC,1,193,sayan
MC,1,375,sayan
MC,1,279,sayan
MC,1,224,sayan
MC,1,193,sayan
MC,1,287,sayan
MC,1,281,sayan
MC,1,217,sayan
MC,1,775,sayan
MC,1,0,sayan
MC,1,233,sayan
MC,1,136,sayan
MC,1,152,sayan
MC,1,191,sayan
MC,1,568,sayan
MC,1,0,sayan
MC,1,257,sayan
MC,1,465,sayan
MC,1,273,sayan
MC,1,192,sayan
MC,1,223,sayan
MC,1,265,sayan
MC,1,839,sayan
MC,1,704,sayan
MC,1,225,sayan
MC,1,416,sayan
MC,1,137,sayan
MC,1,1081,sayan
MC,1,184,sayan
MC,1,409,sayan
MC,1,920,sayan
MC,1,392,sayan
MC,1,240,sayan
MC,1,423,sayan
MC,1,10423,sayan
MC,1,270,sayan
MC,1,183,sayan
MC,1,512,sayan
MC,1,216,sayan
MC,1,225,sayan
MC,1,513,sayan
MC,1,223,sayan
MC,1,160,sayan
MC,1,151,sayan
MC,1,487,sayan
MC,1,191,sayan
MC,1,279,sayan
MC,1,424,sayan
MC,1,199,sayan
MC,1,192,sayan
MC,1,160,sayan
MC,1,192,sayan
MC,1,240,sayan
MC,1,264,sayan
MC,1,168,sayan
MC,1,192,sayan
MC,1,159,sayan
MC,1,615,sayan
MC,1,240,sayan
MC,1,201,sayan
MC,1,168,sayan
MC,1,151,sayan
MC,1,271,sayan
MC,1,336,sayan
MC,1,392,sayan
MC,1,648,sayan
MC,1,280,sayan
MC,1,278,sayan
MC,1,329,sayan
MC,1,182,sayan
MC,1,168,sayan
MC,1,424,sayan
MC,1,167,sayan
MC,1,230,sayan
MC,1,223,sayan
MC,1,175,sayan
MC,1,1119,sayan
MC,1,273,sayan
MC,1,326,sayan
MC,1,232,sayan
MC,1,431,sayan
MC,1,625,sayan
MC,1,287,sayan
MC,1,257,sayan
MC,1,456,sayan
MC,1,584,sayan
MC,1,192,sayan
MC,1,423,sayan
MC,1,512,sayan
MC,1,192,sayan
MC,1,272,sayan
MC,1,168,sayan
MC,1,169,sayan
MC,1,256,sayan
MC,1,728,sayan
MC,1,246,sayan
MC,1,488,sayan
MC,1,231,sayan
MC,1,383,sayan
MC,1,265,sayan
MC,1,159,sayan
MC,1,16551,sayan
MC,1,352,sayan
MC,1,320,sayan
MC,1,616,sayan
MC,1,192,sayan
MC,1,223,sayan
MC,1,201,sayan
MC,1,161,sayan
MC,1,183,sayan
MC,1,287,sayan
MC,1,151,sayan
MC,1,121,sayan
MC,1,199,sayan
MC,1,249,sayan
MC,1,256,sayan
MC,1,631,sayan
MC,1,256,sayan
MC,1,464,sayan
MC,1,312,sayan
MC,1,233,sayan
MC,1,648,sayan
MC,1,336,sayan
MC,1,129,sayan
MC,1,240,sayan
MC,1,127,sayan
MC,1,813,sayan
MC,1,240,sayan
MC,1,152,sayan
MC,1,904,sayan
MC,1,192,sayan
MC,1,215,sayan
MC,1,152,sayan
MC,1,175,sayan
MC,1,376,sayan
MC,1,311,sayan
MC,1,239,sayan
MC,1,287,sayan
MC,1,247,sayan
MC,1,184,sayan
MC,1,199,sayan
MC,1,263,sayan
MC,1,120,sayan
MC,1,104,sayan
MC,1,272,sayan
MC,1,200,sayan
MC,1,311,sayan
MC,1,136,sayan
MC,1,489,sayan
MC,1,344,sayan
MC,1,329,sayan
MC,1,368,sayan
MC,1,1039,sayan
MC,1,208,sayan
MC,1,224,sayan
MC,1,216,sayan
MC,1,191,sayan
MC,1,318,sayan
MC,1,353,sayan
MC,1,399,sayan
MC,2,193,sayan
MC,1,217,sayan
MC,1,117,sayan
MC,1,328,sayan
MC,1,136,sayan
MC,1,231,sayan
MC,1,415,sayan
MC,1,255,sayan
MC,1,497,sayan
MC,1,200,sayan
MC,1,217,sayan
MC,1,217,sayan
MC,1,248,sayan
MC,1,184,sayan
MC,1,0,sayan
MC,1,3527,sayan
MC,1,1184,sayan
MC,1,296,sayan
MC,1,600,sayan
MC,1,289,sayan
MC,1,207,sayan
MC,1,190,sayan
MC,1,257,sayan
MC,1,208,sayan
MC,1,1231,sayan
MC,1,1081,sayan
MC,1,1063,sayan
MC,1,205,sayan
MC,1,265,sayan
MC,1,232,sayan
MC,1,232,sayan
MC,1,422,sayan
MC,1,186,sayan
MC,1,799,sayan
MC,1,263,sayan
MC,1,304,sayan
MC,1,215,sayan
MC,1,256,sayan
MC,1,585,sayan
MC,1,237,sayan
MC,1,198,sayan
MC,1,145,sayan
MC,1,217,sayan
MC,2,199,sayan
MC,1,354,sayan
MC,1,178,sayan
MC,1,431,sayan
MC,1,152,sayan
MC,1,337,sayan
MC,1,247,sayan
MC,1,321,sayan
MC,1,232,sayan
MC,1,465,sayan
MC,1,919,sayan
MC,1,151,sayan
MC,1,198,sayan
MC,1,240,sayan
MC,1,288,sayan
MC,1,271,sayan
MC,1,232,sayan
MC,1,448,sayan
MC,1,222,sayan
MC,1,225,sayan
MC,1,143,sayan
MC,1,256,sayan
MC,1,232,sayan
MC,1,433,sayan
MC,1,192,sayan
MC,1,231,sayan
MC,1,345,sayan
MC,1,249,sayan
MC,1,536,sayan
MC,1,696,sayan
MC,1,289,sayan
MC,1,224,sayan
MC,1,408,sayan
MC,1,185,sayan
MC,1,1248,sayan
MC,1,313,sayan
MC,1,280,sayan
MC,1,568,sayan
MC,1,152,sayan
MC,1,151,sayan
MC,1,247,sayan
MC,1,191,sayan
MC,1,256,sayan
MC,1,231,sayan
MC,1,182,sayan
MC,1,167,sayan
MC,1,272,sayan
MC,1,160,sayan
MC,1,190,sayan
MC,1,321,sayan
MC,1,231,sayan
MC,1,360,sayan
MC,1,208,sayan
MC,1,440,sayan
MC,1,136,sayan
MC,1,217,sayan
MC,1,224,sayan
MC,1,207,sayan
MC,1,633,sayan
MC,1,368,sayan
MC,1,151,sayan
MC,1,824,sayan
MC,1,247,sayan
MC,1,225,sayan
MC,1,296,sayan
MC,1,233,sayan
MC,1,464,sayan
MC,1,272,sayan
MC,1,241,sayan
MC,1,358,sayan
MC,1,352,sayan
MC,1,241,sayan
MC,1,272,sayan
MC,1,231,sayan
MC,1,222,sayan
MC,1,207,sayan
MC,1,183,sayan
MC,1,415,sayan
MC,1,352,sayan
MC,1,249,sayan
MC,1,831,sayan
MC,1,296,sayan
MC,1,528,sayan
MC,1,191,sayan
MC,1,528,sayan
MC,1,254,sayan
MC,1,232,sayan
MC,1,223,sayan
MC,1,128,sayan
MC,1,344,sayan
MC,1,560,sayan
MC,1,671,sayan
MC,2,192,sayan
MC,1,128,sayan
MC,1,320,sayan
MC,1,176,sayan
MC,1,232,sayan
MC,1,248,sayan
MC,1,608,sayan
MC,1,368,sayan
MC,1,719,sayan
MC,1,248,sayan
MC,1,375,sayan
MC,1,136,sayan
MC,1,280,sayan
MC,1,424,sayan
MC,1,312,sayan
MC,1,360,sayan
MC,1,336,sayan
MC,1,351,sayan
MC,1,75191,sayan
MC,1,216,sayan
MC,1,352,sayan
MC,1,360,sayan
MC,1,272,sayan
MC,1,624,sayan
MC,1,359,sayan
MC,1,431,sayan
MC,1,255,sayan
MC,1,304,sayan
MC,1,192,sayan
MC,1,343,sayan
MC,1,279,sayan
MC,1,504,sayan
MC,1,145,sayan
MC,1,416,sayan
MC,1,256,sayan
MC,1,288,sayan
MC,1,192,sayan
MC,1,337,sayan
MC,1,248,sayan
MC,1,288,sayan
MC,1,224,sayan
MC,1,328,sayan
MC,1,144,sayan
MC,1,248,sayan
MC,1,448,sayan
MC,1,752,sayan
MC,1,337,sayan
MC,1,552,sayan
MC,1,272,sayan
MC,1,238,sayan
MC,1,1120,sayan
MC,1,352,sayan
MC,1,217,sayan
MC,1,215,sayan
MC,1,288,sayan
MC,1,145,sayan
MC,1,257,sayan
MC,1,672,sayan
MC,1,182,sayan
MC,1,232,sayan
MC,1,112,sayan
MC,1,392,sayan
MC,1,224,sayan
MC,1,274,sayan
MC,1,216,sayan
MC,1,240,sayan
MC,1,440,sayan
MC,1,536,sayan
MC,1,408,sayan
MC,1,225,sayan
MC,1,271,sayan
MC,1,273,sayan
MC,1,209,sayan
MC,1,166,sayan
MC,1,248,sayan
MC,1,167,sayan
MC,1,1,sayan
MC,1,1207,sayan
MC,1,224,sayan
MC,1,337,sayan
MC,2,199,sayan
MC,1,192,sayan
MC,1,263,sayan
MC,1,183,sayan
MC,1,248,sayan
MC,1,592,sayan
MC,1,233,sayan
MC,1,351,sayan
MC,1,664,sayan
MC,2,200,sayan
MC,1,208,sayan
MC,1,737,sayan
MC,1,256,sayan
MC,1,223,sayan
MC,1,568,sayan
MC,1,240,sayan
MC,1,328,sayan
MC,2,184,sayan
MC,1,152,sayan
MC,1,207,sayan
MC,1,295,sayan
MC,1,496,sayan
MC,1,168,sayan
MC,1,529,sayan
MC,1,200,sayan
MC,1,168,sayan
MC,1,600,sayan
MC,1,191,sayan
MC,1,351,sayan
MC,1,168,sayan
MC,1,353,sayan
MC,1,344,sayan
MC,1,232,sayan
MC,1,239,sayan
MC,1,207,sayan
MC,1,344,sayan
MC,1,216,sayan
MC,1,656,sayan
MC,1,137,sayan
MC,1,216,sayan
MC,1,439,sayan
MC,1,368,sayan
MC,1,255,sayan
MC,1,168,sayan
MC,1,224,sayan
MC,1,247,sayan
MC,1,197,sayan
MC,1,446,sayan
MC,1,168,sayan
MC,1,185,sayan
MC,1,368,sayan
MC,1,13504,sayan
MC,1,320,sayan
MC,1,271,sayan
MC,1,921,sayan
MC,1,193,sayan
MC,1,208,sayan
MC,1,200,sayan
MC,1,288,sayan
MC,1,216,sayan
MC,1,576,sayan
MC,1,305,sayan
MC,1,783,sayan
MC,1,1184,sayan
MC,1,552,sayan
MC,1,184,sayan
MC,1,272,sayan
MC,1,473,sayan
MC,1,239,sayan
MC,1,256,sayan
MC,1,239,sayan
MC,1,222,sayan
MC,1,185,sayan
MC,1,209,sayan
MC,1,208,sayan
MC,1,712,sayan
MC,1,216,sayan
MC,1,225,sayan
MC,2,175,sayan
MC,1,200,sayan
MC,1,207,sayan
MC,1,321,sayan
MC,1,800,sayan
MC,1,160,sayan
MC,1,248,sayan
MC,1,287,sayan
MC,1,152,sayan
MC,1,368,sayan
MC,1,256,sayan
MC,1,296,sayan
MC,1,409,sayan
MC,1,496,sayan
MC,1,568,sayan
MC,1,425,sayan
MC,1,263,sayan
MC,2,48,sayan
MC,1,520,sayan
MC,1,136,sayan
MC,1,840,sayan
MC,1,201,sayan
MC,1,409,sayan
MC,1,136,sayan
MC,1,182,sayan
MC,1,288,sayan
MC,1,689,sayan
MC,1,663,sayan
MC,1,264,sayan
MC,1,353,sayan
MC,1,202,sayan
MC,1,344,sayan
MC,1,279,sayan
MC,1,233,sayan
MC,1,297,sayan
MC,1,256,sayan
MC,2,48,sayan
MC,1,1103,sayan
MC,1,248,sayan
MC,1,799,sayan
MC,1,232,sayan
MC,1,184,sayan
MC,1,368,sayan
MC,1,16049,sayan
MC,1,3720,sayan
MC,1,304,sayan
MC,1,248,sayan
MC,1,1392,sayan
MC,1,961,sayan
MC,1,153,sayan
MC,1,-32,sayan
MC,1,177,sayan
MC,1,0,sayan
MC,1,361,sayan
MC,1,305,sayan
MC,1,593,sayan
MC,1,239,sayan
MC,1,320,sayan
MC,1,224,sayan
MC,1,255,sayan
MC,1,263,sayan
